"SrNo","StationName","Data_Src","display_name","Installed_cap_MW","Utility_type","Utility_subtype","Type","Subtype","Fuel","PSP_name","LTA_name","RLDC_name"
"316","RIHAND1","ISGS","RIHAND1","1000","CS","NTPC","0","0",,,,
"317","RIHAND2","ISGS","RIHAND2","1000","CS","NTPC","0","0",,,,
"318","RIHAND3","ISGS","RIHAND3","1000","CS","NTPC","0","0",,,,
"319","RITHALA  GPS","PSP","RITHALA  GPS","0","0","Gas","0","0",,,,
"320","RKM_POWER","LTA","RKM_POWER","720","0","Others","0","0",,,,
"321","Rokhia","PSP","Rokhia","0","NULL","NULL","Others","Others","NULL",,,
"322","ROSA  TPS","PSP","ROSA  TPS","570","0","Others","0","0",,,,
"323","RSTPSU1TO6","ISGS","RSTPSU1TO6","2100","CS","NTPC","0","0",,,,
"324","RSTPSU7","ISGS","RSTPSU7","500","CS","NTPC","0","0",,,,
"325","RTPS","LTA","RTPS","0","0","Others","0","0",,,,
"326","SABARIGIRI","PSP","SABARIGIRI","0","0","Others","0","0",,,,
"327","SAGARDIGHI","PSP","SAGARDIGHI","0","NULL","NULL","Thermal","Others","NULL",,,
"328","SALAL","ISGS","SALAL","690","0","Hydro","0","0",,,,
"329","SAMAL(OPCL)","PSP","SAMAL(OPCL)","0","0","Hydro","0","0",,,,
"330","SAMALPATTY (DIESEL)","PSP","SAMALPATTY (DIESEL)","0","NULL","NULL","Gas","Gas","NULL",,,
"331","SANJAY GANDHI TPS ","PSP","SANJAY GANDHI TPS ","0","NULL","NULL","Thermal","Others","NULL",,,
"332","SANTALDIH TPS","PSP","SANTALDIH TPS","0","NULL","NULL","Thermal","Others","NULL",,,
"333","SASAN","ISGS","SASAN","3960","0","Others","0","0",,,,
"334","SATPURA II ","PSP","SATPURA II ","0","NULL","NULL","Thermal","Others","NULL",,,
"335","Serlui-B","PSP","Serlui-B","0","NULL","NULL","Others","Others","NULL",,,
"336","SEWA2","ISGS","SEWA2","120","0","Hydro","0","0",,,,
"337","SHANAN","PSP","SHANAN","0","0","Hydro","0","0",,,,
"338","SHARAVATHI","PSP","SHARAVATHI","0","0","Hydro","0","0",,,,
"339","SIMHST1","ISGS","SIMHST1","1000","CS","NTPC","0","0",,,,
"340","SIMHST2","ISGS","SIMHST2","1000","CS","NTPC","0","0",,,,
"341","SINGAJI ","PSP","SINGAJI ","0","NULL","NULL","Thermal","Others","NULL",,,
"342","SINGARENI TPS","PSP","SINGARENI TPS","1200","0","Others","0","0",,,,
"343","SINGRAULI","ISGS","SINGRAULI","2000","CS","NTPC","0","0",,,,
"344","SINGRAULI_HYDRO","ISGS","SINGRAULI_HYDRO","15","CS","NTPC-H","0","0",,,,
"345","SIPAT I","ISGS","SIPAT I","1980","CS","NTPC","Coal","0",,,,
"346","SIPAT II","ISGS","SIPAT II","1000","CS","NTPC","Coal","0",,,,
"347","SKS Raigarh","LTA","SKS Raigarh","600","IPP","Thermal","Coal","0",,,,
"348","SLPP ","PSP","SLPP ","0","0","Thermal","0","0",,,,
"349","SMALL HYDRO","PSP","SMALL HYDRO","0","NULL","NULL","Hydro","MustRun","NULL",,,
"350","SOLAPUR","ISGS","SOLAPUR","1320","CS","NTPC","Coal","0",,,,
"351","SOLAR","PSP","SOLAR","0","0","Solar","0","0",,,,
"352","SOLAR ","PSP","SOLAR ","0","0","Solar","0","0",,,,
"353","SOLAR GUVNL","LTA","SOLAR GUVNL","0","0","RE","0","0",,,,
"354","SOLAR MPSEB","LTA","SOLAR MPSEB","0","NULL","NULL","Solar","MustRun","NULL",,,
"355","Sonapani","PSP","Sonapani","0","NULL","NULL","Others","Others","NULL",,,
"356","SPECTRUM (GAS)","PSP","SPECTRUM (GAS)","0","0","0","0","0",,,,
"357","SPECTRUM_ACBIL","LTA","SPECTRUM_ACBIL","100","IPP","Thermal","Coal","0",,,,
"358","SRISAILAM LBPH","PSP","SRISAILAM LBPH","900","0","Hydro","0","0",,,,
"359","SRISAILAM LBPH(PUMP)","PSP","SRISAILAM LBPH(PUMP)","0","0","Hydro","0","0",,,,
"360","SRISAILAM RBPH","PSP","SRISAILAM RBPH","0","0","0","0","0",,,,
"361","SSP","ISGS","SSP","0","0","Hydro","0","0",,,,
"362","ST - CMS","PSP","ST - CMS","0","NULL","NULL","Thermal","Others","NULL",,,
"363","STERLITE","PSP","STERLITE","600","0","Thermal","0","0",,,,
"364","STPS ","PSP","STPS ","0","0","Thermal","0","0",,,,
"365","SUBARNREKHA HPS ","PSP","SUBARNREKHA HPS ","130","NULL","NULL","Hydro","MustRun","NULL",,,
